"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"140","16/01/2020",16,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"141","15/01/2020",15,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"142","14/01/2020",14,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"143","13/01/2020",13,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"144","12/01/2020",12,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"145","11/01/2020",11,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"146","10/01/2020",10,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"147","09/01/2020",9,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"148","08/01/2020",8,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"149","07/01/2020",7,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"150","06/01/2020",6,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"151","05/01/2020",5,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"152","04/01/2020",4,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"153","03/01/2020",3,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"154","02/01/2020",2,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"155","01/01/2020",1,1,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"156","31/12/2019",31,12,2019,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"157","13/06/2020",13,6,2020,31,1,"AL","Europe","ALB",2866376,"Albania"
"158","12/06/2020",12,6,2020,44,1,"AL","Europe","ALB",2866376,"Albania"
"159","11/06/2020",11,6,2020,42,0,"AL","Europe","ALB",2866376,"Albania"
"160","10/06/2020",10,6,2020,36,0,"AL","Europe","ALB",2866376,"Albania"
"161","09/06/2020",9,6,2020,17,0,"AL","Europe","ALB",2866376,"Albania"
"162","08/06/2020",8,6,2020,14,0,"AL","Europe","ALB",2866376,"Albania"
"163","07/06/2020",7,6,2020,20,1,"AL","Europe","ALB",2866376,"Albania"
"164","06/06/2020",6,6,2020,15,0,"AL","Europe","ALB",2866376,"Albania"
"165","05/06/2020",5,6,2020,13,0,"AL","Europe","ALB",2866376,"Albania"
"166","04/06/2020",4,6,2020,20,0,"AL","Europe","ALB",2866376,"Albania"
"167","03/06/2020",3,6,2020,21,0,"AL","Europe","ALB",2866376,"Albania"
"168","02/06/2020",2,6,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"169","01/06/2020",1,6,2020,15,0,"AL","Europe","ALB",2866376,"Albania"
"170","31/05/2020",31,5,2020,23,0,"AL","Europe","ALB",2866376,"Albania"
"171","30/05/2020",30,5,2020,23,0,"AL","Europe","ALB",2866376,"Albania"
"172","29/05/2020",29,5,2020,26,0,"AL","Europe","ALB",2866376,"Albania"
"173","28/05/2020",28,5,2020,21,0,"AL","Europe","ALB",2866376,"Albania"
"174","27/05/2020",27,5,2020,25,1,"AL","Europe","ALB",2866376,"Albania"
"175","26/05/2020",26,5,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"176","25/05/2020",25,5,2020,9,1,"AL","Europe","ALB",2866376,"Albania"
"177","24/05/2020",24,5,2020,8,0,"AL","Europe","ALB",2866376,"Albania"
"178","23/05/2020",23,5,2020,12,0,"AL","Europe","ALB",2866376,"Albania"
"179","22/05/2020",22,5,2020,5,0,"AL","Europe","ALB",2866376,"Albania"
"180","21/05/2020",21,5,2020,15,0,"AL","Europe","ALB",2866376,"Albania"
"181","20/05/2020",20,5,2020,1,0,"AL","Europe","ALB",2866376,"Albania"
"182","19/05/2020",19,5,2020,2,0,"AL","Europe","ALB",2866376,"Albania"
"183","18/05/2020",18,5,2020,13,0,"AL","Europe","ALB",2866376,"Albania"
"184","17/05/2020",17,5,2020,17,0,"AL","Europe","ALB",2866376,"Albania"
"185","16/05/2020",16,5,2020,18,0,"AL","Europe","ALB",2866376,"Albania"
"186","15/05/2020",15,5,2020,18,0,"AL","Europe","ALB",2866376,"Albania"
"187","14/05/2020",14,5,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"188","13/05/2020",13,5,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"189","12/05/2020",12,5,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"190","11/05/2020",11,5,2020,12,0,"AL","Europe","ALB",2866376,"Albania"
"191","10/05/2020",10,5,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"192","09/05/2020",9,5,2020,8,0,"AL","Europe","ALB",2866376,"Albania"
"193","08/05/2020",8,5,2020,10,0,"AL","Europe","ALB",2866376,"Albania"
"194","07/05/2020",7,5,2020,12,0,"AL","Europe","ALB",2866376,"Albania"
"195","06/05/2020",6,5,2020,17,0,"AL","Europe","ALB",2866376,"Albania"
"196","05/05/2020",5,5,2020,8,0,"AL","Europe","ALB",2866376,"Albania"
"197","04/05/2020",4,5,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"198","03/05/2020",3,5,2020,7,0,"AL","Europe","ALB",2866376,"Albania"
"199","02/05/2020",2,5,2020,9,0,"AL","Europe","ALB",2866376,"Albania"
"200","01/05/2020",1,5,2020,7,0,"AL","Europe","ALB",2866376,"Albania"
